scope,status,source_rows
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1176;4459
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,2029;2452
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,2242;2832
scan_34_only,LIKELY_DUPLICATE_GROUP,2477;2575
scan_34_only,LIKELY_DUPLICATE_GROUP,2723;3351
scan_34_only,LIKELY_DUPLICATE_GROUP,3024;3705
scan_34_only,LIKELY_DUPLICATE_GROUP,4094;4474
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,4858;4919
scan_34_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,829;865
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1330;5032
scan_35_only,LIKELY_DUPLICATE_GROUP,1705;1706
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1715;2683
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1774;1780
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1807;1866
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,1863;3054
scan_35_only,POSSIBLE_DUPLICATE_GROUP_REVIEW,3859;4952
scan_35_only,LIKELY_DUPLICATE_GROUP,76;80
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1100;1203;1206
common,LIKELY_DUPLICATE_GROUP,1112;1113
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1137;5140
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1157;4999
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1190;1220
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1205;3475
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1352;1353
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1433;1434
common,LIKELY_DUPLICATE_GROUP,1447;1476
common,LIKELY_DUPLICATE_GROUP,144;250
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1487;1497
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1527;1720;1721
common,LIKELY_DUPLICATE_GROUP,1625;1626
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,162;345
common,LIKELY_DUPLICATE_GROUP,1650;1654
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1699;1702
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1708;1710
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1716;1717
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1723;2584;3951
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1737;4092
common,LIKELY_DUPLICATE_GROUP,1745;1746
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1800;2738
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1808;4609
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1813;1873
common,LIKELY_DUPLICATE_GROUP,1816;1843
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1887;3419
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,1969;2024
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,196;221
common,LIKELY_DUPLICATE_GROUP,1970;2026
common,LIKELY_DUPLICATE_GROUP,1971;3614
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2022;2023
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2025;2044
common,LIKELY_DUPLICATE_GROUP,2028;3615
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2037;2042
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2079;2080;2083
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2103;3327;3330
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2129;2573
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2176;3236
common,LIKELY_DUPLICATE_GROUP,2223;2226
common,LIKELY_DUPLICATE_GROUP,2304;2375
common,LIKELY_DUPLICATE_GROUP,2307;2386
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2308;2384
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2309;2373
common,LIKELY_DUPLICATE_GROUP,230;231
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2310;2376
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2311;2377
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2314;2378
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2315;2379
common,LIKELY_DUPLICATE_GROUP,2316;2374
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2317;2381
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2369;2382
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2469;3522
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2509;2512
common,LIKELY_DUPLICATE_GROUP,2510;2513
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2511;2514
common,LIKELY_DUPLICATE_GROUP,2524;3007
common,LIKELY_DUPLICATE_GROUP,2525;3010
common,LIKELY_DUPLICATE_GROUP,2526;3045
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2619;2691;2799
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2621;2694;2802
common,LIKELY_DUPLICATE_GROUP,2645;2867
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2730;2731
common,LIKELY_DUPLICATE_GROUP,2762;2871
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2852;3423
common,LIKELY_DUPLICATE_GROUP,2860;2861
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2903;3086
common,LIKELY_DUPLICATE_GROUP,2927;3446
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2997;3008
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,2998;3009
common,LIKELY_DUPLICATE_GROUP,2999;3044
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3000;3608
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3001;3610
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3003;3612
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3051;3115
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,317;355
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3536;3537
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3606;3609
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3607;3611
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3697;5123
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3786;4921
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3801;3848
common,LIKELY_DUPLICATE_GROUP,3808;4256;4257;4258;4260
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3810;4420
common,LIKELY_DUPLICATE_GROUP,3819;3821
common,LIKELY_DUPLICATE_GROUP,3820;3822
common,LIKELY_DUPLICATE_GROUP,3837;4614
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3847;4507
common,LIKELY_DUPLICATE_GROUP,3863;4820
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3880;3886;4829;4830;4831
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3881;3882;3883;3884;3887
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3889;4832
common,LIKELY_DUPLICATE_GROUP,3909;4524
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3920;88
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3941;3947;3948;3949;3983
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3954;3955
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,3968;3969
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4036;4288
common,LIKELY_DUPLICATE_GROUP,4038;4153
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4052;4443
common,LIKELY_DUPLICATE_GROUP,4059;4060
common,LIKELY_DUPLICATE_GROUP,405;444
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4069;4936
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4098;636
common,LIKELY_DUPLICATE_GROUP,4112;4596
common,LIKELY_DUPLICATE_GROUP,4113;4597
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4178;4674
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4186;4187
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4207;4589;4737
common,LIKELY_DUPLICATE_GROUP,425;462
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,430;431
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4318;4497
common,LIKELY_DUPLICATE_GROUP,4321;4418
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4350;4365
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4388;582
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4401;4734
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4409;637
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4483;4495
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4502;4834
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4708;5096
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4778;4970
common,LIKELY_DUPLICATE_GROUP,4779;4853
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4861;5065
common,LIKELY_DUPLICATE_GROUP,4862;5132
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4877;4879
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4887;4955;5087
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4888;4940
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4908;5025;5100
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4909;5067
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4937;5039
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,4974;5004;5007
common,LIKELY_DUPLICATE_GROUP,5029;5089
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,5033;5034;5035
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,5058;5061
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,5068;5069
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,5078;5122
common,LIKELY_DUPLICATE_GROUP,5109;5113
common,LIKELY_DUPLICATE_GROUP,5118;5206
common,LIKELY_DUPLICATE_GROUP,5125;5129
common,LIKELY_DUPLICATE_GROUP,5126;5131
common,LIKELY_DUPLICATE_GROUP,5127;5130
common,LIKELY_DUPLICATE_GROUP,5128;5133
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,5213;5214
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,594;692
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,610;632
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,613;618;620
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,682;686
common,LIKELY_DUPLICATE_GROUP,695;707
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,839;851
common,POSSIBLE_DUPLICATE_GROUP_REVIEW,928;929
